 101   g Gerry      Agnew        S   Y    95.5    98.6    97.4    98.1 
 102   E Jim        White        s   y   101.5   108.6   102.4   106.5 
 103   G Joe        Lee          M   n    67.2    78.6    67.9    72.1 
 104   n Henry      Adams        s   y    95.5    98.6    97.4    98.1 
 105   e Sam        Brown        F   n   142.3   148.2   150.1   146.5 
 106   N Gerry      Lyons        m   y    72.6    76.9    80.4    73.5 
 107   S Liam       Malley       M   N    70.2    75.5    78.3    74.1 
 108   G Gerry      Lyons        M   y    72.6    76.9    80.4    73.5 
 109   w Andy       Ryan         F   y   132.5   136.8   140.8   141.2 
 110   E John       Giles        F   Y   141.1   151.6   155.3   145.9 
 111   N Harry      King         M   y    73.6    76.1    81.9    73.5 
 112   W Tim        Hayes        F   n   155.3   159.6   161.8   158.4 
 113   S Eric       Green        m   y    72.6    76.9    80.4    73.5 
