1001 A Gerry      Agnew      1  50.00   100    10    10    10    10 
1002 A Mary       Murphy     2  30.00   200    10    20    30    40 
1003 A Paddy      Reilly     Z  10.00   150    25     0     8     0 
1004 A Sam        Agnew      F   9.99   100   104   102   103   101 
1005 A Sue        Agnew      b  99.99   100   400   100   200   300 
1006 x aaa        aaa        f  29.99     1     1     1     1     1 
1007 s bbb        bbb        f  15.00     1     1     1     1     1 
1008 x Mary       aGnEw      f  40.00     1     1     1     1     1 
1009 s Pat        agneW      f  50.00     1     1     1     1     1 
1010 s Ollie      Orangey    f   0.00     1     1     1     1     1 
1011 A Rita       Redy       1   0.99   500  1000   500   500  1000 
1012 A Barry      Bluey      2   9.99   500  1200  1300  1000  1100 
1013 A Gary       Grey       c  99.99   500   520   510   540   530 
1014 A Brian      Browney    z  10.00  1000  2001  2001  1999  1999 
1015 A Witney     Whitey     F  50.00   300   304   302   300   301 
